,Text,Created At,Positive Score,Negative Score,Neutral Score,Compound Score,Account
0,"For some, a sheriff's broad authority is a defense of liberty. Others worry that it allows them to act above the la… https://t.co/fBxV3b9dtd",Fri Dec 15 02:05:03 +0000 2017,0.238,0.111,0.651,0.3182,NY Times
1,"""How old would Ben be?""

""Eleven."" 

Ben Wheeler would be a sixth-grader now. https://t.co/YUlEMaGQbZ https://t.co/m1orGuCyCM",Fri Dec 15 01:55:12 +0000 2017,0.0,0.0,1.0,0.0,NY Times
2,"RT @nytpolitics: ""They're lying to you,"" an activist told Senator Susan Collins in an emotional plea for her to vote against the tax bill.…",Fri Dec 15 01:47:03 +0000 2017,0.059,0.126,0.815,-0.4215,NY Times
3,The best dance of 2017 https://t.co/afGnvFwqNH,Fri Dec 15 01:32:04 +0000 2017,0.457,0.0,0.543,0.6369,NY Times
4,The FCC voted to repeal Obama-era net neutrality rules. Here’s what you need to know. https://t.co/HDvU028tkI,Fri Dec 15 01:17:01 +0000 2017,0.0,0.0,1.0,0.0,NY Times
5,"In a blow to workers, the National Labor Relations Board reversed an Obama-era ruling that helped unions fight hote… https://t.co/HxO8b5fiMf",Fri Dec 15 01:02:06 +0000 2017,0.0,0.126,0.874,-0.3818,NY Times
6,"RT @jennyschuessler: 'Youthquake’ Is Oxford’s Word of the Year. Sorry, Broflake. https://t.co/v0vjGrF7A8",Fri Dec 15 00:47:02 +0000 2017,0.0,0.106,0.894,-0.0772,NY Times
7,The share of the world's income going to the top 1 percent has shrunk since the financial crisis. Here's why that m… https://t.co/mKSxGbtB2k,Fri Dec 15 00:32:04 +0000 2017,0.148,0.151,0.701,-0.2732,NY Times
8,"The Disney-Fox deal needs U.S. approval but has friends in high places, our columnist @JamesStewartNYT writes https://t.co/mJXzWeA0NF",Fri Dec 15 00:17:03 +0000 2017,0.292,0.0,0.708,0.7351,NY Times
9,Evening Briefing: Here's what you need to know at the end of the day https://t.co/0O1YWE1F4m,Fri Dec 15 00:02:04 +0000 2017,0.0,0.0,1.0,0.0,NY Times
10,"An Alabama sheriff's activities raise questions about the broad powers given to these officers, emboldened in the e… https://t.co/I9FYzUn5Zj",Thu Dec 14 23:45:05 +0000 2017,0.0,0.0,1.0,0.0,NY Times
11,"RT @nytopinion: We asked @nytopinion columnists to give each other reading recommendations. Here’s what @PaulKrugman, @MaureenDowd, @NickKr…",Thu Dec 14 23:36:37 +0000 2017,0.0,0.0,1.0,0.0,NY Times
12,"Doctors have found a new way to treat heart arrhythmias leading to sudden death, a leading killer in the U.S. https://t.co/PVGb673wQ6",Thu Dec 14 23:17:03 +0000 2017,0.1,0.305,0.595,-0.7579,NY Times
13,"From secret baby to warrior to general, how Princess Leia became one of the most iconic characters in ""Star Wars""… https://t.co/NzpcxXDivp",Thu Dec 14 23:01:47 +0000 2017,0.0,0.0,1.0,0.0,NY Times
14,These videos include graphic scenes of violence and have sparked outrage over police treatment of black people https://t.co/OnlhCw04E1,Thu Dec 14 22:45:15 +0000 2017,0.0,0.316,0.684,-0.8126,NY Times
15,There is no time to linger. That altitude is called the “death zone” for good reason. Climbing Everest is a formida… https://t.co/bO8kppERlg,Thu Dec 14 22:25:14 +0000 2017,0.12,0.091,0.788,0.1779,NY Times
16,"Serve it straight out of the oven, when it's at its puffiest https://t.co/9kF3bSEjj1",Thu Dec 14 22:15:05 +0000 2017,0.137,0.0,0.863,0.2263,NY Times
17,RT @nytvideo: Here’s how net neutrality works: https://t.co/leS8Rzr8GV https://t.co/vhRe9W9AnP,Thu Dec 14 22:01:05 +0000 2017,0.0,0.0,1.0,0.0,NY Times
18,"Opinion: ""In his first 10 months in office, Donald J. Trump has told 103 separate untruths, many of them repeatedly… https://t.co/ERRGdTc1YQ",Thu Dec 14 21:52:40 +0000 2017,0.0,0.0,1.0,0.0,NY Times
19,"Don’t overlook Ireland’s second city, which is well worth a full weekend of its own https://t.co/FHYw88vw1b",Thu Dec 14 21:45:12 +0000 2017,0.235,0.0,0.765,0.4588,NY Times
20,"For some, a sheriff's broad authority is a defense of liberty. Others worry that it allows them to act above the la… https://t.co/fBxV3b9dtd",Fri Dec 15 02:05:03 +0000 2017,0.238,0.111,0.651,0.3182,NY Times
21,"""How old would Ben be?""

""Eleven."" 

Ben Wheeler would be a sixth-grader now. https://t.co/YUlEMaGQbZ https://t.co/m1orGuCyCM",Fri Dec 15 01:55:12 +0000 2017,0.0,0.0,1.0,0.0,NY Times
22,"RT @nytpolitics: ""They're lying to you,"" an activist told Senator Susan Collins in an emotional plea for her to vote against the tax bill.…",Fri Dec 15 01:47:03 +0000 2017,0.059,0.126,0.815,-0.4215,NY Times
23,The best dance of 2017 https://t.co/afGnvFwqNH,Fri Dec 15 01:32:04 +0000 2017,0.457,0.0,0.543,0.6369,NY Times
24,The FCC voted to repeal Obama-era net neutrality rules. Here’s what you need to know. https://t.co/HDvU028tkI,Fri Dec 15 01:17:01 +0000 2017,0.0,0.0,1.0,0.0,NY Times
25,"In a blow to workers, the National Labor Relations Board reversed an Obama-era ruling that helped unions fight hote… https://t.co/HxO8b5fiMf",Fri Dec 15 01:02:06 +0000 2017,0.0,0.126,0.874,-0.3818,NY Times
26,"RT @jennyschuessler: 'Youthquake’ Is Oxford’s Word of the Year. Sorry, Broflake. https://t.co/v0vjGrF7A8",Fri Dec 15 00:47:02 +0000 2017,0.0,0.106,0.894,-0.0772,NY Times
27,The share of the world's income going to the top 1 percent has shrunk since the financial crisis. Here's why that m… https://t.co/mKSxGbtB2k,Fri Dec 15 00:32:04 +0000 2017,0.148,0.151,0.701,-0.2732,NY Times
28,"The Disney-Fox deal needs U.S. approval but has friends in high places, our columnist @JamesStewartNYT writes https://t.co/mJXzWeA0NF",Fri Dec 15 00:17:03 +0000 2017,0.292,0.0,0.708,0.7351,NY Times
